R7/1/14(火曜日),,,,,,,,,,
Group all,,Goal：100mにも取り組みましょう!,,,,,,,,
Type,Style,Distance,,,,,Cycle,Description,Total,Time
W-up,cho,50,×,8,,,1:30,SKPS  by2t,400,12:00
,,50,×,4,,,1:30,scull/swim   by25m,200,6:00
,IM,100,×,2,,,3:15,,200,6:00
,,,×,,,,,,0,0:00
K,Fr,100,×,3,,,2:40,,300,8:00
,S1,100,×,2,,,3:00,1E1H by50m,200,6:00
,,,×,,,,,,0,0:00
P,Fr,100,×,3,,,2:40,,300,8:00
,S1,100,×,2,,,3:00,1E1H by50m,200,6:00
,,,×,,,,,,0,0:00
,,100,×,1,,,5:00,,100,5:00
,,,×,,,,,,0,0:00
Main,S1,50,×,4,,,1:30,Drill/swim  by25m,200,6:00
,Fr,100,×,2,,,2:20,,200,4:40
,S1,50,×,2,,,1:30,"E,H",100,3:00
,,,×,,,,,,0,0:00
,,,×,,,,,,0,0:00
C-down,cho,400,×,1,,,10:00,,400,10:00
Total,,,,,,,,,2800,#REF!
